config,dataset,seed,params,train_samples,epochs,batch,lr,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
L2_a5_1e5,d138,33,25817802,1380,25,16,0.0001,1.0,0.6800000071525574,0.7049999833106995,0.9408191442489624,10,89.5
L2_a5_1e5,d234,11,25817802,2340,25,16,0.0001,1.0,0.6949999928474426,0.7699999809265137,0.8056312799453735,8,135.3
L2_a5_1e5,d234,22,25817802,2340,25,16,0.0001,1.0,0.7200000286102295,0.7599999904632568,0.8245740532875061,7,135.4
L2_a5_1e5,d234,33,25817802,2340,25,16,0.0001,1.0,0.7400000095367432,0.7850000262260437,0.8398178815841675,6,135.1
L2_a5_1e5,d90,11,25817802,900,25,16,0.0001,1.0,0.7099999785423279,0.7450000047683716,0.9510855674743652,12,66.0
L2_a5_1e5,d90,22,25817802,900,25,16,0.0001,1.0,0.6650000214576721,0.7350000143051147,1.005487084388733,11,66.0
L2_a5_1e5,d90,33,25817802,900,25,16,0.0001,1.0,0.6650000214576721,0.7300000190734863,0.9104523658752441,11,65.9
L2_a6_1e2,d138,11,12903082,1380,25,16,0.0001,1.0,0.6899999976158142,0.7450000047683716,0.9092579483985901,16,79.4
L2_a6_1e2,d138,22,12903082,1380,25,16,0.0001,1.0,0.699999988079071,0.699999988079071,0.9462909698486328,9,79.0
L2_a6_1e2,d138,33,12903082,1380,25,16,0.0001,1.0,0.6850000023841858,0.7200000286102295,0.8698021769523621,11,77.9
L2_a6_1e2,d234,11,12903082,2340,25,16,0.0001,1.0,0.7450000047683716,0.7599999904632568,0.8268234133720398,6,119.0
L2_a6_1e2,d234,22,12903082,2340,25,16,0.0001,1.0,0.6850000023841858,0.7400000095367432,0.9089196920394897,5,121.3
L2_a6_1e2,d234,33,12903082,2340,25,16,0.0001,1.0,0.7350000143051147,0.7649999856948853,0.7799423336982727,8,119.1
L2_a6_1e2,d90,11,12903082,900,25,16,0.0001,1.0,0.6850000023841858,0.7049999833106995,1.063247799873352,9,58.5
L2_a6_1e2,d90,22,12903082,900,25,16,0.0001,1.0,0.6800000071525574,0.6949999928474426,0.9886929392814636,11,58.1
L2_a6_1e2,d90,33,12903082,900,25,16,0.0001,1.0,0.7200000286102295,0.7450000047683716,0.9078372716903687,17,58.3
L2_a6_1e3,d138,11,12903082,1380,25,16,0.0001,1.0,0.6899999976158142,0.7450000047683716,0.9112909436225891,16,79.6
L2_a6_1e3,d138,22,12903082,1380,25,16,0.0001,1.0,0.7099999785423279,0.7099999785423279,0.9459075927734375,9,78.7
L2_a6_1e3,d138,33,12903082,1380,25,16,0.0001,1.0,0.6850000023841858,0.7250000238418579,0.8749838471412659,11,81.8
L2_a6_1e3,d234,11,12903082,2340,25,16,0.0001,1.0,0.7450000047683716,0.7649999856948853,0.8256598114967346,6,120.4
L2_a6_1e3,d234,22,12903082,2340,25,16,0.0001,1.0,0.6850000023841858,0.7250000238418579,0.9050813913345337,5,119.6
L2_a6_1e3,d234,33,12903082,2340,25,16,0.0001,1.0,0.7450000047683716,0.7649999856948853,0.780912458896637,8,119.1
L2_a6_1e3,d90,11,12903082,900,25,16,0.0001,1.0,0.6899999976158142,0.7049999833106995,1.063116431236267,9,58.6
L2_a6_1e3,d90,22,12903082,900,25,16,0.0001,1.0,0.6800000071525574,0.6899999976158142,0.9874194860458374,11,58.9
L2_a6_1e3,d90,33,12903082,900,25,16,0.0001,1.0,0.7200000286102295,0.7450000047683716,0.9082121849060059,17,59.4
L2_a6_1e4,d138,11,12903082,1380,25,16,0.0001,1.0,0.6949999928474426,0.7599999904632568,0.9092320203781128,16,79.3
L2_a6_1e4,d138,22,12903082,1380,25,16,0.0001,1.0,0.6949999928474426,0.6949999928474426,0.9442326426506042,9,79.6
L2_a6_1e4,d138,33,12903082,1380,25,16,0.0001,1.0,0.6850000023841858,0.7099999785423279,0.8787286877632141,11,81.6
L2_a6_1e4,d234,11,12903082,2340,25,16,0.0001,1.0,0.7450000047683716,0.7649999856948853,0.8260446190834045,6,119.6
L2_a6_1e4,d234,22,12903082,2340,25,16,0.0001,1.0,0.6899999976158142,0.7450000047683716,0.9089518785476685,5,121.3
L2_a6_1e4,d234,33,12903082,2340,25,16,0.0001,1.0,0.7450000047683716,0.7649999856948853,0.7844409942626953,8,119.8
L2_a6_1e4,d90,11,12903082,900,25,16,0.0001,1.0,0.6899999976158142,0.7049999833106995,1.062474012374878,9,59.8
L2_a6_1e4,d90,22,12903082,900,25,16,0.0001,1.0,0.6899999976158142,0.6899999976158142,0.988516628742218,11,58.8
L2_a6_1e4,d90,33,12903082,900,25,16,0.0001,1.0,0.7200000286102295,0.7549999952316284,0.9083881974220276,17,59.5
L2_a6_1e5,d138,11,12903082,1380,25,16,0.0001,1.0,0.6899999976158142,0.7400000095367432,0.9109437465667725,16,78.4
L2_a6_1e5,d138,22,12903082,1380,25,16,0.0001,1.0,0.699999988079071,0.699999988079071,0.9463636875152588,9,79.9
L2_a6_1e5,d138,33,12903082,1380,25,16,0.0001,1.0,0.6850000023841858,0.7250000238418579,0.8757561445236206,11,78.9
L2_a6_1e5,d234,11,12903082,2340,25,16,0.0001,1.0,0.7450000047683716,0.7599999904632568,0.8263811469078064,6,120.7
L2_a6_1e5,d234,22,12903082,2340,25,16,0.0001,1.0,0.6850000023841858,0.7450000047683716,0.9044051170349121,5,121.5
L2_a6_1e5,d234,33,12903082,2340,25,16,0.0001,1.0,0.7400000095367432,0.7649999856948853,0.7730587124824524,8,121.4
L2_a6_1e5,d90,11,12903082,900,25,16,0.0001,1.0,0.6899999976158142,0.7049999833106995,1.0623829364776611,9,58.9
L2_a6_1e5,d90,22,12903082,900,25,16,0.0001,1.0,0.6850000023841858,0.6899999976158142,0.9895502328872681,11,59.1
L2_a6_1e5,d90,33,12903082,900,25,16,0.0001,1.0,0.7200000286102295,0.7450000047683716,0.9094221591949463,17,58.5
