set_num,set_name,word,source_frames,written,padded,trimmed_start,trimmed_end,height,width
13,set_13,milk,65,60,0,1,4,1280,720
13,set_13,pen,69,60,0,2,7,1280,720
13,set_13,red,63,60,0,1,2,1280,720
14,set_14,bat,54,60,6,0,0,1280,720
14,set_14,cup,51,60,9,0,0,1280,720
14,set_14,drop,62,60,0,1,1,1280,720
14,set_14,eat,57,60,3,0,0,1280,720
14,set_14,fish,70,60,0,2,8,1280,720
14,set_14,hot,64,60,0,1,3,1280,720
14,set_14,jump,64,60,0,1,3,1280,720
14,set_14,milk,54,60,6,0,0,1280,720
14,set_14,pen,62,60,0,1,1,1280,720
14,set_14,red,59,60,1,0,0,1280,720
15,set_15,bat,65,60,0,1,4,1280,720
15,set_15,cup,59,60,1,0,0,1280,720
15,set_15,drop,63,60,0,1,2,1280,720
15,set_15,eat,49,60,11,0,0,1280,720
15,set_15,fish,58,60,2,0,0,1280,720
15,set_15,hot,68,60,0,2,6,1280,720
15,set_15,jump,60,60,0,0,0,1280,720
15,set_15,milk,64,60,0,1,3,1280,720
15,set_15,pen,59,60,1,0,0,1280,720
15,set_15,red,68,60,0,2,6,1280,720
16,set_16,bat,55,60,5,0,0,1280,720
16,set_16,cup,66,60,0,2,4,1280,720
16,set_16,drop,73,60,0,3,10,1280,720
16,set_16,eat,79,60,0,4,15,1280,720
16,set_16,fish,70,60,0,2,8,1280,720
16,set_16,hot,71,60,0,3,8,1280,720
16,set_16,jump,70,60,0,2,8,1280,720
16,set_16,milk,86,60,0,6,20,1280,720
16,set_16,pen,75,60,0,3,12,1280,720
16,set_16,red,70,60,0,2,8,1280,720
17,set_17,bat,57,60,3,0,0,1280,720
17,set_17,cup,61,60,0,1,0,1280,720
17,set_17,drop,58,60,2,0,0,1280,720
17,set_17,eat,60,60,0,0,0,1280,720
17,set_17,fish,71,60,0,3,8,1280,720
17,set_17,hot,65,60,0,1,4,1280,720
17,set_17,jump,68,60,0,2,6,1280,720
17,set_17,milk,54,60,6,0,0,1280,720
17,set_17,pen,60,60,0,0,0,1280,720
17,set_17,red,64,60,0,1,3,1280,720
18,set_18,bat,61,60,0,1,0,1280,720
18,set_18,cup,53,60,7,0,0,1280,720
18,set_18,drop,60,60,0,0,0,1280,720
18,set_18,eat,60,60,0,0,0,1280,720
18,set_18,fish,62,60,0,1,1,1280,720
18,set_18,hot,71,60,0,3,8,1280,720
18,set_18,jump,60,60,0,0,0,1280,720
18,set_18,milk,59,60,1,0,0,1280,720
18,set_18,pen,61,60,0,1,0,1280,720
18,set_18,red,59,60,1,0,0,1280,720
19,set_19,bat,45,60,15,0,0,1280,720
19,set_19,cup,61,60,0,1,0,1280,720
19,set_19,drop,55,60,5,0,0,1280,720
19,set_19,eat,55,60,5,0,0,1280,720
19,set_19,fish,63,60,0,1,2,1280,720
19,set_19,hot,53,60,7,0,0,1280,720
19,set_19,jump,56,60,4,0,0,1280,720
19,set_19,milk,58,60,2,0,0,1280,720
19,set_19,pen,56,60,4,0,0,1280,720
19,set_19,red,49,60,11,0,0,1280,720
20,set_20,bat,52,60,8,0,0,1280,720
20,set_20,cup,43,60,17,0,0,1280,720
20,set_20,drop,54,60,6,0,0,1280,720
20,set_20,eat,40,60,20,0,0,1280,720
20,set_20,fish,51,60,9,0,0,1280,720
20,set_20,hot,53,60,7,0,0,1280,720
20,set_20,jump,52,60,8,0,0,1280,720
20,set_20,milk,58,60,2,0,0,1280,720
20,set_20,pen,55,60,5,0,0,1280,720
20,set_20,red,45,60,15,0,0,1280,720
21,set_21,bat,68,60,0,2,6,1280,720
21,set_21,cup,66,60,0,2,4,1280,720
21,set_21,drop,70,60,0,2,8,1280,720
21,set_21,eat,63,60,0,1,2,1280,720
21,set_21,fish,73,60,0,3,10,1280,720
21,set_21,hot,74,60,0,3,11,1280,720
21,set_21,jump,68,60,0,2,6,1280,720
21,set_21,milk,69,60,0,2,7,1280,720
21,set_21,pen,74,60,0,3,11,1280,720
21,set_21,red,72,60,0,3,9,1280,720
22,set_22,bat,65,60,0,1,4,1280,720
22,set_22,cup,67,60,0,2,5,1280,720
22,set_22,drop,83,60,0,5,18,1280,720
22,set_22,eat,82,60,0,5,17,1280,720
22,set_22,fish,79,60,0,4,15,1280,720
22,set_22,hot,67,60,0,2,5,1280,720
22,set_22,jump,64,60,0,1,3,1280,720
22,set_22,milk,70,60,0,2,8,1280,720
22,set_22,pen,66,60,0,2,4,1280,720
22,set_22,red,72,60,0,3,9,1280,720
23,set_23,bat,53,60,7,0,0,1280,720
23,set_23,cup,63,60,0,1,2,1280,720
23,set_23,drop,67,60,0,2,5,1280,720
23,set_23,eat,56,60,4,0,0,1280,720
23,set_23,fish,56,60,4,0,0,1280,720
23,set_23,hot,73,60,0,3,10,1280,720
23,set_23,jump,71,60,0,3,8,1280,720
23,set_23,milk,65,60,0,1,4,1280,720
23,set_23,pen,70,60,0,2,8,1280,720
