set_name,word,total,detected,failed_frames,fills,status
set_39,milk,60,60,,,OK
set_39,pen,60,60,,,OK
set_39,red,60,60,,,OK
set_40,bat,60,60,,,OK
set_40,cup,60,60,,,OK
set_40,drop,60,60,,,OK
set_40,eat,60,60,,,OK
set_40,fish,60,60,,,OK
set_40,hot,60,60,,,OK
set_40,jump,60,60,,,OK
set_40,milk,60,60,,,OK
set_40,pen,60,60,,,OK
set_40,red,60,60,,,OK
set_41,bat,60,60,,,OK
set_41,cup,60,60,,,OK
set_41,drop,60,60,,,OK
set_41,eat,60,60,,,OK
set_41,fish,60,60,,,OK
set_41,hot,60,60,,,OK
set_41,jump,60,60,,,OK
set_41,milk,60,60,,,OK
set_41,pen,60,60,,,OK
set_41,red,60,60,,,OK
set_42,bat,60,60,,,OK
set_42,cup,60,60,,,OK
set_42,drop,60,60,,,OK
set_42,eat,60,60,,,OK
set_42,fish,60,60,,,OK
set_42,hot,60,60,,,OK
set_42,jump,60,60,,,OK
set_42,milk,60,60,,,OK
set_42,pen,60,60,,,OK
set_42,red,60,60,,,OK
set_43,bat,60,60,,,OK
set_43,cup,60,60,,,OK
set_43,drop,60,60,,,OK
set_43,eat,60,60,,,OK
set_43,fish,60,60,,,OK
set_43,hot,60,60,,,OK
set_43,jump,60,60,,,OK
set_43,milk,60,60,,,OK
set_43,pen,60,60,,,OK
set_43,red,60,60,,,OK
set_44,bat,60,60,,,OK
set_44,cup,60,60,,,OK
set_44,drop,60,60,,,OK
set_44,eat,60,60,,,OK
set_44,fish,60,60,,,OK
set_44,hot,60,60,,,OK
set_44,jump,60,60,,,OK
set_44,milk,60,60,,,OK
set_44,pen,60,60,,,OK
set_44,red,60,60,,,OK
set_45,bat,60,60,,,OK
set_45,cup,60,60,,,OK
set_45,drop,60,60,,,OK
set_45,eat,60,60,,,OK
set_45,fish,60,60,,,OK
set_45,hot,60,60,,,OK
set_45,jump,60,60,,,OK
set_45,milk,60,60,,,OK
set_45,pen,60,60,,,OK
set_45,red,60,60,,,OK
set_46,bat,60,60,,,OK
set_46,cup,60,60,,,OK
set_46,drop,60,60,,,OK
set_46,eat,60,60,,,OK
set_46,fish,60,60,,,OK
set_46,hot,60,60,,,OK
set_46,jump,60,60,,,OK
set_46,milk,60,60,,,OK
set_46,pen,60,60,,,OK
set_46,red,60,60,,,OK
set_47,bat,60,60,,,OK
set_47,cup,60,60,,,OK
set_47,drop,60,60,,,OK
set_47,eat,60,60,,,OK
set_47,fish,60,60,,,OK
set_47,hot,60,60,,,OK
set_47,jump,60,60,,,OK
set_47,milk,60,60,,,OK
set_47,pen,60,60,,,OK
set_47,red,60,60,,,OK
set_48,bat,60,60,,,OK
set_48,cup,60,60,,,OK
set_48,drop,60,60,,,OK
set_48,eat,60,60,,,OK
set_48,fish,60,60,,,OK
set_48,hot,60,60,,,OK
set_48,jump,60,60,,,OK
set_48,milk,60,60,,,OK
set_48,pen,60,60,,,OK
set_48,red,60,60,,,OK
set_49,bat,60,60,,,OK
set_49,cup,60,60,,,OK
set_49,drop,60,60,,,OK
set_49,eat,60,60,,,OK
set_49,fish,60,60,,,OK
set_49,hot,60,60,,,OK
set_49,jump,60,60,,,OK
set_49,milk,60,60,,,OK
set_49,pen,60,60,,,OK
