config,seed,total_params,trainable_params,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds,epochs_run,train_samples
m19_vgg16_epochs80,44,21140042,6425354,0.9988889098167419,0.699999988079071,0.7300000190734863,0.8513014316558838,78,449.0,80.0,900.0
m19_vgg16_epochs80,55,21140042,6425354,1.0,0.7049999833106995,0.7200000286102295,0.8461927175521851,50,449.1,80.0,900.0
m1_flatten,11,2885194,627210,0.9988889098167419,0.6299999952316284,0.6299999952316284,1.2531952857971191,10,53.5,,
m1_flatten,22,2885194,627210,0.9988889098167419,0.5799999833106995,0.5950000286102295,1.2404987812042236,14,52.6,,
m1_flatten,33,2885194,627210,0.9988889098167419,0.6150000095367432,0.625,1.2109298706054688,9,53.4,,
m1_flatten,44,2885194,627210,1.0,0.5899999737739563,0.6150000095367432,1.1146557331085205,10,52.6,,
m1_flatten,55,2885194,627210,0.9988889098167419,0.6150000095367432,0.625,1.1580281257629395,5,53.1,,
m2_midlayer,11,67850,1930,0.12333333492279053,0.12999999523162842,0.1550000011920929,2.3077759742736816,15,42.5,,
m2_midlayer,22,67850,1930,0.09777777642011642,0.0949999988079071,0.10499999672174454,2.309077501296997,15,41.1,,
m2_midlayer,33,67850,1930,0.1066666692495346,0.0949999988079071,0.10499999672174454,2.30448579788208,15,41.5,,
m2_midlayer,44,67850,1930,0.0811111107468605,0.14000000059604645,0.14499999582767487,2.2793378829956055,15,42.0,,
m2_midlayer,55,67850,1930,0.09333333373069763,0.08500000089406967,0.0949999988079071,2.3187990188598633,15,42.4,,
m3_densehead,11,2588490,330506,0.6077777743339539,0.4749999940395355,0.4749999940395355,1.530890703201294,15,55.0,,
m3_densehead,22,2588490,330506,0.6266666650772095,0.48500001430511475,0.49000000953674316,1.4816797971725464,15,54.8,,
m3_densehead,33,2588490,330506,0.5899999737739563,0.46000000834465027,0.4699999988079071,1.5036234855651855,15,54.8,,
m3_densehead,44,2588490,330506,0.6000000238418579,0.4350000023841858,0.49000000953674316,1.5264458656311035,13,54.8,,
m3_densehead,55,2588490,330506,0.6000000238418579,0.45500001311302185,0.47999998927116394,1.496362566947937,15,55.4,,
m4_unfreeze20,11,2270794,1218890,0.9977777600288391,0.26499998569488525,0.26499998569488525,2.708324909210205,1,61.0,,
m4_unfreeze20,22,2270794,1218890,0.9977777600288391,0.38499999046325684,0.39500001072883606,2.691882848739624,1,60.3,,
m4_unfreeze20,33,2270794,1218890,0.9933333396911621,0.3799999952316284,0.4099999964237213,2.6278128623962402,1,62.3,,
m4_unfreeze20,44,2270794,1218890,0.995555579662323,0.4449999928474426,0.4449999928474426,2.2295076847076416,15,61.6,,
m4_unfreeze20,55,2270794,1218890,0.995555579662323,0.4000000059604645,0.41999998688697815,2.8199880123138428,13,59.3,,
m5_lr1e3,11,2270794,12810,0.7044444680213928,0.5099999904632568,0.5199999809265137,1.4443632364273071,14,53.6,,
m5_lr1e3,22,2270794,12810,0.7211111187934875,0.4650000035762787,0.5,1.443342924118042,13,52.9,,
m5_lr1e3,33,2270794,12810,0.7311111092567444,0.5099999904632568,0.5099999904632568,1.4536060094833374,15,54.3,,
m5_lr1e3,44,2270794,12810,0.7088888883590698,0.4749999940395355,0.5299999713897705,1.4712468385696411,10,54.0,,
m5_lr1e3,55,2270794,12810,0.7055555582046509,0.48500001430511475,0.5,1.4978541135787964,13,53.1,,
m6_flat_lr1e3,11,2885194,627210,0.9611111283302307,0.5249999761581421,0.5950000286102295,3.1359217166900635,1,53.6,,
m6_flat_lr1e3,22,2885194,627210,0.9666666388511658,0.5550000071525574,0.5950000286102295,3.8096728324890137,2,53.2,,
m6_flat_lr1e3,33,2885194,627210,0.9522222280502319,0.4749999940395355,0.6050000190734863,3.9588913917541504,8,54.1,,
m6_flat_lr1e3,44,2885194,627210,0.9811111092567444,0.574999988079071,0.5899999737739563,3.8698699474334717,6,52.9,,
m6_flat_lr1e3,55,2885194,627210,0.9766666889190674,0.5600000023841858,0.6100000143051147,3.937828779220581,14,52.7,,
m7_flat_dense,11,18317130,16059146,1.0,0.6449999809265137,0.6650000214576721,1.064646601676941,10,55.4,,
m7_flat_dense,22,18317130,16059146,1.0,0.6399999856948853,0.6399999856948853,1.0377229452133179,10,55.7,,
m7_flat_dense,33,18317130,16059146,1.0,0.6200000047683716,0.6449999809265137,1.0382475852966309,6,55.1,,
m7_flat_dense,44,18317130,16059146,1.0,0.6200000047683716,0.6449999809265137,1.043438196182251,7,55.5,,
m7_flat_dense,55,18317130,16059146,1.0,0.6449999809265137,0.6650000214576721,1.031643033027649,9,55.8,,
m8_flat_dense_lr1e3,11,18317130,16059146,0.4355555474758148,0.41999998688697815,0.4399999976158142,1.5940438508987427,14,53.7,,
m8_flat_dense_lr1e3,22,18317130,16059146,0.47999998927116394,0.33500000834465027,0.41999998688697815,1.6283354759216309,14,53.8,,
m8_flat_dense_lr1e3,33,18317130,16059146,0.3355555534362793,0.2800000011920929,0.3100000023841858,1.8545079231262207,10,53.4,,
m8_flat_dense_lr1e3,44,18317130,16059146,0.4655555486679077,0.3449999988079071,0.38499999046325684,1.641036868095398,13,54.1,,
m8_flat_dense_lr1e3,55,18317130,16059146,0.46444445848464966,0.35499998927116394,0.35499998927116394,1.7214490175247192,14,54.2,,
m9_flat_unfreeze20,11,2885194,1833290,0.992222249507904,0.4399999976158142,0.4449999928474426,2.702943801879883,1,61.2,,
m9_flat_unfreeze20,22,2885194,1833290,0.996666669845581,0.36000001430511475,0.375,2.836381196975708,14,60.5,,
m9_flat_unfreeze20,33,2885194,1833290,0.9977777600288391,0.4449999928474426,0.4449999928474426,2.454461097717285,15,61.1,,
m9_flat_unfreeze20,44,2885194,1833290,0.9988889098167419,0.41999998688697815,0.41999998688697815,2.6737704277038574,13,60.6,,
m9_flat_unfreeze20,55,2885194,1833290,1.0,0.4449999928474426,0.4449999928474426,2.583843469619751,15,60.6,,
mobilenetv2,11,2270794,12810,0.2888889014720917,0.3100000023841858,0.3100000023841858,1.8950448036193848,15,54.3,,
mobilenetv2,22,2270794,12810,0.2966666519641876,0.2849999964237213,0.2849999964237213,1.929182767868042,15,53.1,,
mobilenetv2,33,2270794,12810,0.2922222316265106,0.3149999976158142,0.32499998807907104,1.8953542709350586,15,53.2,,
mobilenetv2,44,2270794,12810,0.30666667222976685,0.3149999976158142,0.3149999976158142,1.8962100744247437,15,53.8,,
mobilenetv2,55,2270794,12810,0.30222222208976746,0.29499998688697815,0.3149999976158142,1.9215284585952759,15,72.5,,
